Wall time,Step,Value
1746332615.7180421,1195,26.0
1746332615.8553593,1197,33.0
1746332616.0209992,1199,33.0
1746332616.156964,1201,35.0
1746332616.3749452,1204,31.0
1746332616.4959733,1206,26.0
1746332616.627132,1208,24.0
1746332616.7390153,1210,20.0
1746332616.857623,1212,29.0
1746332617.017456,1214,45.0
1746332617.619794,1224,24.0
1746332617.834651,1228,21.0
1746332618.1360033,1232,32.0
1746332618.199523,1233,26.0
1746332618.265403,1234,29.0
1746332618.390231,1236,30.0
1746332618.618002,1239,36.0
1746332618.850335,1242,42.0
1746332618.9671032,1244,27.0
1746332619.1720834,1247,32.0
1746332619.6566613,1253,33.0
1746332619.7930965,1255,29.0
1746332619.9147825,1257,26.0
1746332619.985618,1258,32.0
1746332620.1919374,1261,40.0
1746332620.2732658,1262,33.0
1746332620.350539,1263,31.0
1746332620.5674915,1266,28.0
1746332621.1560032,1274,28.0
1746332621.4852383,1279,30.0
1746332621.6518123,1281,44.0
1746332622.1596045,1287,40.0
1746332622.4449189,1291,33.0
1746332622.5131178,1292,35.0
1746332622.5818613,1293,36.0
1746332622.665778,1294,36.0
1746332623.1594882,1300,38.0
1746332623.4054193,1303,45.0
1746332623.9630258,1310,55.0
1746332624.1303074,1312,35.0
1746332624.3679097,1315,52.0
1746332624.4706671,1316,57.0
1746332624.6687186,1319,23.0
1746332624.7493918,1320,38.0
1746332625.1713042,1325,40.0
1746332625.2577188,1326,49.0
1746332625.35777,1327,48.0
1746332625.637084,1330,46.0
1746332625.8553746,1333,29.0
1746332625.9300795,1334,33.0
1746332626.0073655,1335,35.0
1746332626.076704,1336,35.0
1746332626.1473482,1337,35.0
1746332626.58067,1343,43.0
1746332627.0122046,1349,39.0
1746332627.3171477,1355,42.0
1746332627.4981153,1359,31.0
1746332627.6270235,1361,63.0
1746332627.8790257,1366,44.0
1746332628.0840788,1370,30.0
1746332628.489795,1377,39.0
1746332628.6058185,1379,33.0
1746332628.7726126,1382,33.0
1746332628.905161,1384,53.0
1746332628.9636333,1385,31.0
1746332629.1764336,1388,50.0
1746332629.2244878,1389,31.0
1746332629.3423007,1391,34.0
1746332629.3944366,1392,32.0
1746332629.5744584,1395,31.0
1746332630.681342,1412,41.0
1746332630.7312126,1413,34.0
