Wall time,Step,Value
1746332593.7258315,843,47.0
1746332593.928068,846,49.0
1746332594.081105,848,39.0
1746332595.0214057,863,37.0
1746332595.2969944,867,32.0
1746332595.3954985,869,20.0
1746332595.4658422,870,42.0
1746332595.7007763,874,23.0
1746332595.8215034,876,35.0
1746332595.8780253,877,20.0
1746332596.0762205,880,34.0
1746332596.2204037,882,28.0
1746332596.344725,884,30.0
1746332596.5044394,887,26.0
1746332596.5993438,889,17.0
1746332596.6647696,890,37.0
1746332596.7883637,892,24.0
1746332596.9923959,896,37.0
1746332597.2214944,900,43.0
1746332597.6634073,907,66.0
1746332597.7250314,908,38.0
1746332597.807754,909,109.0
1746332597.86885,910,23.0
1746332597.9970403,912,30.0
1746332598.1632304,915,16.0
1746332598.2339125,916,43.0
1746332598.285046,917,19.0
1746332598.4435234,920,22.0
1746332598.5085957,921,40.0
1746332598.5858538,922,56.0
1746332598.657851,923,80.0
1746332599.140174,931,19.0
1746332599.1998167,932,36.0
1746332599.3685644,935,27.0
1746332599.736422,942,23.0
1746332599.921296,945,32.0
1746332600.3715143,953,24.0
1746332600.430052,954,37.0
1746332600.539241,956,22.0
1746332600.5982149,957,39.0
1746332600.6722834,958,52.0
1746332600.8415966,961,39.0
1746332600.8947425,962,26.0
1746332601.0155954,964,76.0
1746332601.1408901,966,103.0
1746332601.4817762,971,40.0
1746332601.5606143,972,55.0
1746332601.7938468,976,22.0
1746332601.8814635,977,138.0
1746332601.957687,978,27.0
1746332602.0238664,979,35.0
1746332602.207875,982,42.0
1746332602.2729287,983,26.0
1746332602.324209,984,20.0
1746332602.5135028,987,49.0
1746332602.5640552,988,22.0
1746332603.0388908,996,41.0
1746332603.30148,1000,43.0
1746332603.4272778,1002,28.0
1746332603.5323284,1004,29.0
1746332603.582354,1005,22.0
1746332603.7430444,1008,20.0
1746332603.962555,1011,89.0
1746332604.0239303,1012,22.0
1746332604.086823,1013,25.0
1746332604.1519775,1014,25.0
1746332604.325949,1017,32.0
1746332604.8412776,1025,34.0
1746332604.9895484,1027,25.0
1746332605.1457949,1029,26.0
1746332605.2771018,1031,55.0
1746332605.334458,1032,22.0
1746332605.5140667,1035,31.0
1746332605.6223423,1037,25.0
1746332605.769397,1039,29.0
1746332606.0571032,1044,26.0
1746332606.4211733,1051,18.0
1746332606.4734588,1052,22.0
1746332606.6713192,1055,52.0
1746332606.8050447,1057,27.0
1746332607.1660109,1063,21.0
1746332607.2349823,1064,50.0
1746332607.3667293,1066,25.0
1746332607.4889176,1068,51.0
1746332607.7698853,1072,29.0
1746332608.1966863,1076,104.0
1746332608.3437219,1078,55.0
1746332608.6544714,1083,22.0
1746332608.716133,1084,25.0
1746332608.779086,1085,29.0
1746332609.1529546,1092,28.0
1746332609.2052648,1093,24.0
1746332609.5592558,1099,37.0
1746332609.7920284,1103,35.0
1746332609.8419504,1104,22.0
1746332609.903872,1105,28.0
1746332610.5155504,1114,24.0
1746332610.657529,1116,45.0
1746332610.85475,1119,64.0
1746332611.2738438,1125,34.0
1746332611.3412366,1126,39.0
1746332611.607403,1130,96.0
1746332611.8443341,1133,72.0
1746332611.9004295,1134,22.0
1746332611.9626005,1135,26.0
1746332612.1356914,1138,33.0
1746332612.7701201,1149,46.0
1746332612.9252858,1152,27.0
1746332613.142815,1155,47.0
1746332613.2005079,1156,21.0
1746332613.2634299,1157,25.0
1746332613.467725,1160,27.0
1746332613.5250816,1161,27.0
1746332613.5831425,1162,26.0
1746332614.5274415,1177,27.0
1746332614.7104595,1180,27.0
1746332614.8386161,1182,45.0
1746332614.8917305,1183,35.0
1746332615.0154269,1185,32.0
1746332615.0855815,1186,39.0
1746332615.3215592,1189,93.0
1746332615.5241559,1192,53.0
1746332615.5860498,1193,25.0
1746332615.7180421,1195,24.0
1746332615.8553593,1197,51.0
1746332616.0209992,1199,41.0
1746332616.156964,1201,33.0
1746332616.3749452,1204,29.0
1746332616.4948635,1206,34.0
1746332616.627132,1208,22.0
1746332616.7380128,1210,18.0
1746332616.857623,1212,37.0
1746332617.017456,1214,93.0
1746332617.619794,1224,32.0
1746332617.834651,1228,19.0
1746332618.1360033,1232,30.0
1746332618.199523,1233,24.0
1746332618.265403,1234,37.0
1746332618.390231,1236,38.0
1746332618.618002,1239,44.0
1746332618.850335,1242,80.0
1746332618.9671032,1244,25.0
1746332619.1720834,1247,40.0
1746332619.6566613,1253,51.0
1746332619.7930965,1255,27.0
1746332619.9147825,1257,24.0
1746332619.985618,1258,40.0
1746332620.1919374,1261,68.0
1746332620.2732658,1262,61.0
1746332620.350539,1263,39.0
1746332620.5674915,1266,26.0
1746332621.1560032,1274,26.0
1746332621.4852383,1279,38.0
1746332621.6518123,1281,122.0
1746332622.158602,1287,68.0
1746332622.4449189,1291,41.0
1746332622.5131178,1292,33.0
1746332622.5818613,1293,44.0
1746332622.665778,1294,44.0
1746332623.1594882,1300,86.0
1746332623.4054193,1303,103.0
1746332623.9630258,1310,193.0
1746332624.1303074,1312,73.0
1746332624.3679097,1315,120.0
1746332624.4706671,1316,175.0
1746332624.6687186,1319,21.0
1746332624.7493918,1320,66.0
1746332625.1713042,1325,68.0
1746332625.2577188,1326,97.0
1746332625.356767,1327,106.0
1746332625.637084,1330,154.0
1746332625.8553746,1333,27.0
1746332625.9300795,1334,41.0
1746332626.0073655,1335,73.0
1746332626.076704,1336,53.0
1746332626.1473482,1337,73.0
1746332626.58067,1343,111.0
1746332627.0122046,1349,77.0
1746332627.3171477,1355,90.0
1746332627.4981153,1359,39.0
1746332627.6270235,1361,241.0
1746332627.8790257,1366,112.0
1746332628.0840788,1370,38.0
1746332628.489795,1377,57.0
1746332628.6058185,1379,51.0
1746332628.7726126,1382,41.0
1746332628.905161,1384,161.0
1746332628.9636333,1385,39.0
1746332629.1764336,1388,148.0
1746332629.2244878,1389,39.0
1746332629.3423007,1391,32.0
1746332629.3944366,1392,30.0
1746332629.5744584,1395,29.0
1746332630.681342,1412,59.0
1746332630.7312126,1413,42.0
1746332630.7928934,1414,68.0
1746332630.850813,1415,60.0
1746332631.0550282,1419,183.0
1746332631.2095418,1422,89.0
1746332631.4336123,1426,30.0
1746332631.480736,1427,40.0
1746332631.5303588,1428,54.0
1746332631.7393625,1432,42.0
1746332631.7975159,1433,74.0
1746332631.8433473,1434,26.0
1746332631.9798417,1436,138.0
1746332632.0890179,1438,83.0
1746332632.2110865,1440,30.0
1746332632.3206491,1442,91.0
1746332632.7162368,1450,95.0
1746332632.9259584,1455,96.0
1746332632.9951267,1456,78.0
1746332633.5699642,1465,57.0
1746332633.6175802,1466,41.0
1746332634.2860184,1477,59.0
1746332634.5539148,1482,68.0
1746332634.7218428,1485,84.0
1746332634.809923,1486,202.0
1746332635.0720143,1489,153.0
1746332635.2541094,1491,224.0
1746332635.3371012,1492,68.0
1746332636.1841276,1500,151.0
1746332636.29363,1501,174.0
1746332636.348417,1502,25.0
1746332636.4491072,1503,202.0
1746332636.6809778,1506,67.0
1746332636.8399405,1508,69.0
1746332636.947586,1509,142.0
1746332637.0269895,1510,46.0
1746332637.7535243,1518,126.0
1746332638.2012708,1523,88.0
1746332638.2946932,1524,44.0
1746332638.5134585,1527,111.0
1746332639.356896,1534,38.0
1746332639.5531409,1536,109.0
1746332640.3244185,1546,158.0
1746332640.8654294,1551,286.0
1746332640.973676,1552,121.0
1746332641.2600465,1554,183.0
1746332641.3570967,1555,151.0
1746332642.0479484,1561,79.0
1746332642.125518,1562,69.0
1746332642.556589,1568,46.0
1746332642.6211784,1569,50.0
1746332643.5131028,1578,40.0
1746332643.849834,1582,70.0
1746332644.0892484,1584,190.0
1746332644.4200308,1588,29.0
1746332645.3239527,1597,29.0
1746332645.4759371,1599,45.0
1746332645.7842445,1602,123.0
1746332646.0311985,1604,257.0
1746332646.1626472,1605,249.0
1746332646.8080575,1610,115.0
1746332647.063702,1613,37.0
1746332647.45677,1618,29.0
1746332647.5917645,1620,43.0
1746332648.031142,1624,242.0
1746332648.280816,1626,248.0
1746332648.4272437,1627,270.0
1746332648.5655453,1628,240.0
1746332648.8932965,1630,304.0
1746332649.118737,1632,107.0
1746332649.4880424,1637,35.0
1746332649.7187846,1640,32.0
1746332649.8613746,1642,53.0
1746332650.144178,1645,198.0
1746332650.6570842,1648,583.0
1746332651.2834368,1652,518.0
1746332651.841419,1655,681.0
1746332652.2485123,1659,221.0
1746332652.296638,1660,46.0
1746332652.343357,1661,32.0
1746332652.6533797,1668,49.0
1746332652.7950394,1670,184.0
1746332652.9815438,1672,385.0
1746332653.226207,1675,270.0
1746332653.3279667,1676,291.0
1746332653.6840837,1682,109.0
1746332653.7342002,1683,33.0
1746332653.9519398,1687,32.0
1746332654.1931636,1691,105.0
1746332654.480292,1694,196.0
1746332654.6394455,1695,491.0
1746332654.8035161,1696,690.0
1746332654.9155395,1697,416.0
1746332655.136595,1699,484.0
1746332655.39037,1702,257.0
1746332655.8458774,1709,49.0
1746332655.8940032,1710,31.0
1746332656.170859,1715,68.0
1746332656.2948685,1717,194.0
1746332656.3627648,1718,211.0
1746332656.474545,1719,322.0
1746332657.155086,1728,52.0
1746332657.4216506,1732,441.0
1746332657.490324,1733,172.0
1746332657.5880756,1734,346.0
1746332657.6898317,1735,290.0
1746332657.9148278,1737,519.0
1746332658.4365294,1742,284.0
1746332658.482146,1743,32.0
1746332658.5900893,1745,43.0
1746332658.6429613,1746,59.0
1746332658.6885736,1747,43.0
1746332658.8444867,1750,82.0
1746332658.9409394,1752,33.0
1746332658.9935744,1753,87.0
1746332659.0584168,1754,86.0
1746332659.7927601,1763,275.0
1746332660.1461523,1766,334.0
1746332661.0504131,1775,68.0
1746332661.431694,1781,233.0
1746332661.4992611,1782,198.0
1746332662.0189033,1788,123.0
1746332662.1390882,1789,553.0
1746332662.276816,1790,379.0
1746332662.4757786,1792,310.0
1746332663.0205574,1798,213.0
1746332663.3778124,1804,60.0
1746332663.4308324,1805,44.0
1746332663.9801729,1813,32.0
1746332664.0769153,1814,267.0
1746332664.3089705,1817,65.0
1746332664.5586915,1820,48.0
1746332665.0576398,1824,464.0
1746332665.3034902,1826,613.0
1746332665.816751,1830,776.0
1746332666.1801472,1836,30.0
1746332666.4013317,1840,89.0
1746332666.4705348,1841,135.0
1746332666.870393,1844,436.0
1746332667.1212425,1846,490.0
1746332667.4016283,1849,117.0
1746332667.6547184,1853,70.0
1746332667.8009496,1855,113.0
1746332668.052198,1857,219.0
1746332668.1941245,1858,430.0
1746332668.2699494,1859,200.0
1746332668.7218823,1866,29.0
1746332668.813371,1868,46.0
1746332668.870012,1869,33.0
1746332670.4505243,1875,367.0
1746332670.806474,1876,776.0
1746332670.8881829,1877,134.0
1746332671.3797069,1879,1308.0
1746332671.6883976,1881,509.0
1746332672.8156614,1893,30.0
1746332673.6716204,1902,869.0
1746332675.3328543,1906,6437.0
1746332676.182788,1911,170.0
1746332676.2395778,1912,92.0
1746332676.4832609,1917,33.0
1746332676.539512,1918,32.0
1746332676.584123,1919,32.0
1746332676.7902045,1923,44.0
1746332676.8454015,1924,61.0
1746332677.67859,1930,2495.0
1746332681.2743547,1934,1420.0
1746332681.3446066,1935,87.0
1746332681.4066274,1936,43.0
1746332681.5110753,1938,48.0
1746332681.5501778,1939,37.0
1746332681.760313,1944,28.0
1746332681.8670874,1947,17.0
1746332681.9377694,1949,19.0
1746332682.042933,1952,17.0
1746332682.1510875,1955,16.0
1746332682.2963955,1958,33.0
1746332682.4001307,1960,23.0
1746332684.6937513,1966,4965.0
1746332685.170458,1967,2949.0
1746332685.3683977,1969,420.0
1746332685.494618,1971,88.0
1746332685.9699862,1980,26.0
1746332686.0483904,1981,173.0
1746332686.1130528,1982,99.0
1746332686.1857405,1983,206.0
1746332687.4607685,1997,264.0
1746332687.7411304,2001,177.0
1746332688.2716777,2005,752.0
1746332691.9584706,2006,25520.0
1746332700.0748365,2009,25540.0
1746332700.1859555,2010,533.0
1746332700.351419,2013,32.0
1746332700.4470687,2015,37.0
1746332700.5485175,2017,32.0
1746332700.8078716,2022,27.0
1746332700.957234,2025,32.0
1746332701.056366,2027,25.0
1746332701.093958,2028,25.0
1746332701.188519,2030,99.0
1746332701.3465683,2033,34.0
1746332701.4825284,2036,31.0
1746332701.6027992,2038,185.0
